Наименование должности;Общие требования к претенденту;Требования к образованию;Требования к профессиональному стажу;Требования к профессиональным знаниям и учениям;Режим работы;Основные условия;Размер оплаты труда;Основные государственные гарантии;Перечень необходимых документов;Дата начала приема документов;Дата окончания приема документов;Адрес приема документов;Ограничения и обязательства;ФИО контактного лица;E-mail контактного лица;Телефон ответственного лица;Адрес подачи документов;График работы приемной комиссии;Порядок проведения конкурса;Предполагаемая дата проведения конкурса;Место проведения конкурса
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
главный специалист-эксперт отдела сводных статистических работ;гражданство Российской Федерации, возраст - старше 18 лет, владение государственным языком Российской Федерации;высшее профессиональное образование экономического направления подготовки или высшее профессиональное образование иного направления подготовки и дополнительное профессиональное образование по специализации замещаемой должности;без предъявления требований к стажу;приказ Росстата от 21.05.2012 № 315 «Об утверждении квалификационных требований к профессиональным знаниям и навыкам, необходимым для исполнения должностных обязанностей федеральными государственными гражданскими служащими Федеральной службы государственной статистики»;"Режим службы (служебное время) Приказ Росстата от 02.08.2016 N 377 ""Об утверждении Служебного распорядка Федеральной службы государственной статистики""
";Нормированный служебный день;"Должностной оклад 4541 руб.; надбавка за особые условия гражданской службы 60-90% должностного оклада; надбавка за выслугу лет 10-30%; оклад за классный чин от 1179р.-1515р.; ежемесячное денежное поощрение в размере 1 должностного оклада";статья 52 Федерального закона от 27.07.2004 № 79-ФЗ «О государственной гражданской службе Российской Федерации»;пункты 9 и 10 Методики проведения конкурса на замещение вакантной должности федеральной государственной гражданской службы в Федеральной службе государственной статистики (приказ Росстата от 16.09.2016 № 520);;;420021, г. Казань, ул. Галиаскара Камала, 24а. каб.117;статьи 16 - 20.1 Федерального закона от 27.07.2004 № 79-ФЗ «О государственной гражданской службе Российской Федерации»;Матвеева Гульнара Мухаметзиевна;kadrDpt@tatstat.ru;"8(843)
2647209

";420021, г. Казань, ул. Галиаскара Камала, 24а. каб.117;"Пн-чт с 08-00 до 17-00, в пт. с 08-00 до 15-45
Перерыв: с 12-00 по 12-45
";Методика проведения конкурса на замещение вакантной должности федеральной государственной гражданской службы в Федеральной службе государственной статистики (приказ Росстата от 16.09.2016 № 520);;420021, г. Казань, ул. Галиаскара Камала, 24а. каб.107
главный специалист-эксперт отдела статистики предприятий;гражданство Российской Федерации, возраст - старше 18 лет, владение государственным языком Российской Федерации;высшее профессиональное образование экономического направления подготовки или высшее профессиональное образование иного направления подготовки и дополнительное профессиональное образование по специализации замещаемой должности;без предъявления требований к стажу;приказ Росстата от 21.05.2012 № 315 «Об утверждении квалификационных требований к профессиональным знаниям и навыкам, необходимым для исполнения должностных обязанностей федеральными государственными гражданскими служащими Федеральной службы государственной статистики»;"Режим службы (служебное время) Приказ Росстата от 02.08.2016 N 377 ""Об утверждении Служебного распорядка Федеральной службы государственной статистики""
";Нормированный служебный день;"Должностной оклад 4541 руб.; надбавка за особые условия гражданской службы 60-90% должностного оклада; надбавка за выслугу лет 10-30%; оклад за классный чин от 1179р.-1515р.; ежемесячное денежное поощрение в размере 1 должностного оклада";статья 52 Федерального закона от 27.07.2004 № 79-ФЗ «О государственной гражданской службе Российской Федерации»;пункты 9 и 10 Методики проведения конкурса на замещение вакантной должности федеральной государственной гражданской службы в Федеральной службе государственной статистики (приказ Росстата от 16.09.2016 № 520);;;420021, г. Казань, ул. Галиаскара Камала, 24а. каб.117;статьи 16 - 20.1 Федерального закона от 27.07.2004 № 79-ФЗ «О государственной гражданской службе Российской Федерации»;Матвеева Гульнара Мухаметзиевна;kadrDpt@tatstat.ru;"8(843)
2647209

";420021, г. Казань, ул. Галиаскара Камала, 24а. каб.117;"Пн-чт с 08-00 до 17-00, в пт. с 08-00 до 15-45
Перерыв: с 12-00 по 12-45
";Методика проведения конкурса на замещение вакантной должности федеральной государственной гражданской службы в Федеральной службе государственной статистики (приказ Росстата от 16.09.2016 № 520);;420021, г. Казань, ул. Галиаскара Камала, 24а. каб.107
ведущий специалист-эксперт отдела статистики предприятий;гражданство Российской Федерации, возраст - старше 18 лет, владение государственным языком Российской Федерации;высшее профессиональное образование экономического направления подготовки или высшее профессиональное образование иного направления подготовки и дополнительное профессиональное образование по специализации замещаемой должности;без предъявления требований к стажу;приказ Росстата от 21.05.2012 № 315 «Об утверждении квалификационных требований к профессиональным знаниям и навыкам, необходимым для исполнения должностных обязанностей федеральными государственными гражданскими служащими Федеральной службы государственной статистики»;"Режим службы (служебное время) Приказ Росстата от 02.08.2016 N 377 ""Об утверждении Служебного распорядка Федеральной службы государственной статистики""
";Нормированный служебный день;"Должностной оклад 4205 руб.; надбавка за особые условия гражданской службы 60-90% должностного оклада; надбавка за выслугу лет 10-30%; оклад за классный чин от 1179р.-1515р.; ежемесячное денежное поощрение в размере 1 должностного оклада";статья 52 Федерального закона от 27.07.2004 № 79-ФЗ «О государственной гражданской службе Российской Федерации»;пункты 9 и 10 Методики проведения конкурса на замещение вакантной должности федеральной государственной гражданской службы в Федеральной службе государственной статистики (приказ Росстата от 16.09.2016 № 520);;;420021, г. Казань, ул. Галиаскара Камала, 24а. каб.117;статьи 16 - 20.1 Федерального закона от 27.07.2004 № 79-ФЗ «О государственной гражданской службе Российской Федерации»;Матвеева Гульнара Мухаметзиевна;kadrDpt@tatstat.ru;"8(843)
2647209

";420021, г. Казань, ул. Галиаскара Камала, 24а. каб.117;"Пн-чт с 08-00 до 17-00, в пт. с 08-00 до 15-45
Перерыв: с 12-00 по 12-45
";Методика проведения конкурса на замещение вакантной должности федеральной государственной гражданской службы в Федеральной службе государственной статистики (приказ Росстата от 16.09.2016 № 520);;420021, г. Казань, ул. Галиаскара Камала, 24а. каб.107
главный специалист-эксперт административного отдела;гражданство Российской Федерации, возраст - старше 18 лет, владение государственным языком Российской Федерации;высшее профессиональное образование юридического направления подготовки или высшее профессиональное образование иного направления подготовки и дополнительное профессиональное образование по специализации замещаемой должности;без предъявления требований к стажу;приказ Росстата от 21.05.2012 № 315 «Об утверждении квалификационных требований к профессиональным знаниям и навыкам, необходимым для исполнения должностных обязанностей федеральными государственными гражданскими служащими Федеральной службы государственной статистики»;"Режим службы (служебное время) Приказ Росстата от 02.08.2016 N 377 ""Об утверждении Служебного распорядка Федеральной службы государственной статистики""
";Нормированный служебный день;"Должностной оклад 4541 руб.; надбавка за особые условия гражданской службы 60-90% должностного оклада; надбавка за выслугу лет 10-30%; оклад за классный чин от 1179р.-1515р.; ежемесячное денежное поощрение в размере 1 должностного оклада";статья 52 Федерального закона от 27.07.2004 № 79-ФЗ «О государственной гражданской службе Российской Федерации»;пункты 9 и 10 Методики проведения конкурса на замещение вакантной должности федеральной государственной гражданской службы в Федеральной службе государственной статистики (приказ Росстата от 16.09.2016 № 520);;;420021, г. Казань, ул. Галиаскара Камала, 24а. каб.117;статьи 16 - 20.1 Федерального закона от 27.07.2004 № 79-ФЗ «О государственной гражданской службе Российской Федерации»;Матвеева Гульнара Мухаметзиевна;kadrDpt@tatstat.ru;"8(843)
2647209

";420021, г. Казань, ул. Галиаскара Камала, 24а. каб.117;"Пн-чт с 08-00 до 17-00, в пт. с 08-00 до 15-45
Перерыв: с 12-00 по 12-45
";Методика проведения конкурса на замещение вакантной должности федеральной государственной гражданской службы в Федеральной службе государственной статистики (приказ Росстата от 16.09.2016 № 520);;420021, г. Казань, ул. Галиаскара Камала, 24а. каб.107
ведущий специалист-эксперт административного отдела;гражданство Российской Федерации, возраст - старше 18 лет, владение государственным языком Российской Федерации;высшее профессиональное образование юридического направления подготовки или высшее профессиональное образование иного направления подготовки и дополнительное профессиональное образование по специализации замещаемой должности;без предъявления требований к стажу;приказ Росстата от 21.05.2012 № 315 «Об утверждении квалификационных требований к профессиональным знаниям и навыкам, необходимым для исполнения должностных обязанностей федеральными государственными гражданскими служащими Федеральной службы государственной статистики»;"Режим службы (служебное время) Приказ Росстата от 02.08.2016 N 377 ""Об утверждении Служебного распорядка Федеральной службы государственной статистики""
";Нормированный служебный день;"Должностной оклад 4205 руб.; надбавка за особые условия гражданской службы 60-90% должностного оклада; надбавка за выслугу лет 10-30%; оклад за классный чин от 1179р.-1515р.; ежемесячное денежное поощрение в размере 1 должностного оклада";статья 52 Федерального закона от 27.07.2004 № 79-ФЗ «О государственной гражданской службе Российской Федерации»;пункты 9 и 10 Методики проведения конкурса на замещение вакантной должности федеральной государственной гражданской службы в Федеральной службе государственной статистики (приказ Росстата от 16.09.2016 № 520);;;420021, г. Казань, ул. Галиаскара Камала, 24а. каб.117;статьи 16 - 20.1 Федерального закона от 27.07.2004 № 79-ФЗ «О государственной гражданской службе Российской Федерации»;Матвеева Гульнара Мухаметзиевна;kadrDpt@tatstat.ru;"8(843)
2647209

";420021, г. Казань, ул. Галиаскара Камала, 24а. каб.117;"Пн-чт с 08-00 до 17-00, в пт. с 08-00 до 15-45
Перерыв: с 12-00 по 12-45
";Методика проведения конкурса на замещение вакантной должности федеральной государственной гражданской службы в Федеральной службе государственной статистики (приказ Росстата от 16.09.2016 № 520);;420021, г. Казань, ул. Галиаскара Камала, 24а. каб.107
ведущий специалист-эксперт финансово-экономического отдела;гражданство Российской Федерации, возраст - старше 18 лет, владение государственным языком Российской Федерации;высшее профессиональное образование экономического направления подготовки или высшее профессиональное образование иного направления подготовки и дополнительное профессиональное образование по специализации замещаемой должности;без предъявления требований к стажу;приказ Росстата от 21.05.2012 № 315 «Об утверждении квалификационных требований к профессиональным знаниям и навыкам, необходимым для исполнения должностных обязанностей федеральными государственными гражданскими служащими Федеральной службы государственной статистики»;"Режим службы (служебное время) Приказ Росстата от 02.08.2016 N 377 ""Об утверждении Служебного распорядка Федеральной службы государственной статистики""
";Нормированный служебный день;"Должностной оклад 4205 руб.; надбавка за особые условия гражданской службы 60-90% должностного оклада; надбавка за выслугу лет 10-30%; оклад за классный чин от 1179р.-1515р.; ежемесячное денежное поощрение в размере 1 должностного оклада";статья 52 Федерального закона от 27.07.2004 № 79-ФЗ «О государственной гражданской службе Российской Федерации»;пункты 9 и 10 Методики проведения конкурса на замещение вакантной должности федеральной государственной гражданской службы в Федеральной службе государственной статистики (приказ Росстата от 16.09.2016 № 520);;;420021, г. Казань, ул. Галиаскара Камала, 24а. каб.117;статьи 16 - 20.1 Федерального закона от 27.07.2004 № 79-ФЗ «О государственной гражданской службе Российской Федерации»;Матвеева Гульнара Мухаметзиевна;kadrDpt@tatstat.ru;"8(843)
2647209

";420021, г. Казань, ул. Галиаскара Камала, 24а. каб.117;"Пн-чт с 08-00 до 17-00, в пт. с 08-00 до 15-45
Перерыв: с 12-00 по 12-45
";Методика проведения конкурса на замещение вакантной должности федеральной государственной гражданской службы в Федеральной службе государственной статистики (приказ Росстата от 16.09.2016 № 520);;420021, г. Казань, ул. Галиаскара Камала, 24а. каб.107
главный специалист-эксперт отдела информационных технологий;гражданство Российской Федерации, возраст - старше 18 лет, владение государственным языком Российской Федерации;высшее профессиональное образование в сфере информационных технологий или высшее профессиональное образование иного направления подготовки и дополнительное профессиональное образование по специализации замещаемой должности;без предъявления требований к стажу;приказ Росстата от 21.05.2012 № 315 «Об утверждении квалификационных требований к профессиональным знаниям и навыкам, необходимым для исполнения должностных обязанностей федеральными государственными гражданскими служащими Федеральной службы государственной статистики»;"Режим службы (служебное время) Приказ Росстата от 02.08.2016 N 377 ""Об утверждении Служебного распорядка Федеральной службы государственной статистики""
";Нормированный служебный день;"Должностной оклад 4541 руб.; надбавка за особые условия гражданской службы 60-90% должностного оклада; надбавка за выслугу лет 10-30%; оклад за классный чин от 1179р.-1515р.; ежемесячное денежное поощрение в размере 1 должностного оклада";статья 52 Федерального закона от 27.07.2004 № 79-ФЗ «О государственной гражданской службе Российской Федерации»;пункты 9 и 10 Методики проведения конкурса на замещение вакантной должности федеральной государственной гражданской службы в Федеральной службе государственной статистики (приказ Росстата от 16.09.2016 № 520);;;420021, г. Казань, ул. Галиаскара Камала, 24а. каб.117;статьи 16 - 20.1 Федерального закона от 27.07.2004 № 79-ФЗ «О государственной гражданской службе Российской Федерации»;Матвеева Гульнара Мухаметзиевна;kadrDpt@tatstat.ru;"8(843)
2647209

";420021, г. Казань, ул. Галиаскара Камала, 24а. каб.117;"Пн-чт с 08-00 до 17-00, в пт. с 08-00 до 15-45
Перерыв: с 12-00 по 12-45
";Методика проведения конкурса на замещение вакантной должности федеральной государственной гражданской службы в Федеральной службе государственной статистики (приказ Росстата от 16.09.2016 № 520);;420021, г. Казань, ул. Галиаскара Камала, 24а. каб.107
специалист-эксперт отдела информационных технологий;гражданство Российской Федерации, возраст - старше 18 лет, владение государственным языком Российской Федерации;высшее профессиональное образование в сфере информационных технологий или высшее профессиональное образование иного направления подготовки и дополнительное профессиональное образование по специализации замещаемой должности;без предъявления требований к стажу;приказ Росстата от 21.05.2012 № 315 «Об утверждении квалификационных требований к профессиональным знаниям и навыкам, необходимым для исполнения должностных обязанностей федеральными государственными гражданскими служащими Федеральной службы государственной статистики»;"Режим службы (служебное время) Приказ Росстата от 02.08.2016 N 377 ""Об утверждении Служебного распорядка Федеральной службы государственной статистики""
";Нормированный служебный день;"Должностной оклад 3868 руб.; надбавка за особые условия гражданской службы 60-90% должностного оклада; надбавка за выслугу лет 10-30%; оклад за классный чин от 1179р.-1515р.; ежемесячное денежное поощрение в размере 1 должностного оклада";статья 52 Федерального закона от 27.07.2004 № 79-ФЗ «О государственной гражданской службе Российской Федерации»;пункты 9 и 10 Методики проведения конкурса на замещение вакантной должности федеральной государственной гражданской службы в Федеральной службе государственной статистики (приказ Росстата от 16.09.2016 № 520);;;420021, г. Казань, ул. Галиаскара Камала, 24а. каб.117;статьи 16 - 20.1 Федерального закона от 27.07.2004 № 79-ФЗ «О государственной гражданской службе Российской Федерации»;Матвеева Гульнара Мухаметзиевна;kadrDpt@tatstat.ru;"8(843)
2647209

";420021, г. Казань, ул. Галиаскара Камала, 24а. каб.117;"Пн-чт с 08-00 до 17-00, в пт. с 08-00 до 15-45
Перерыв: с 12-00 по 12-45
";Методика проведения конкурса на замещение вакантной должности федеральной государственной гражданской службы в Федеральной службе государственной статистики (приказ Росстата от 16.09.2016 № 520);;420021, г. Казань, ул. Галиаскара Камала, 24а. каб.107
специалист-эксперт отдела информационных технологий;гражданство Российской Федерации, возраст - старше 18 лет, владение государственным языком Российской Федерации;высшее профессиональное образование в сфере информационных технологий или высшее профессиональное образование иного направления подготовки и дополнительное профессиональное образование по специализации замещаемой должности;без предъявления требований к стажу;приказ Росстата от 21.05.2012 № 315 «Об утверждении квалификационных требований к профессиональным знаниям и навыкам, необходимым для исполнения должностных обязанностей федеральными государственными гражданскими служащими Федеральной службы государственной статистики»;"Режим службы (служебное время) Приказ Росстата от 02.08.2016 N 377 ""Об утверждении Служебного распорядка Федеральной службы государственной статистики""
";Нормированный служебный день;"Должностной оклад 3868 руб.; надбавка за особые условия гражданской службы 60-90% должностного оклада; надбавка за выслугу лет 10-30%; оклад за классный чин от 1179р.-1515р.; ежемесячное денежное поощрение в размере 1 должностного оклада";статья 52 Федерального закона от 27.07.2004 № 79-ФЗ «О государственной гражданской службе Российской Федерации»;пункты 9 и 10 Методики проведения конкурса на замещение вакантной должности федеральной государственной гражданской службы в Федеральной службе государственной статистики (приказ Росстата от 16.09.2016 № 520);;;420021, г. Казань, ул. Галиаскара Камала, 24а. каб.117;статьи 16 - 20.1 Федерального закона от 27.07.2004 № 79-ФЗ «О государственной гражданской службе Российской Федерации»;Матвеева Гульнара Мухаметзиевна;kadrDpt@tatstat.ru;"8(843)
2647209

";420021, г. Казань, ул. Галиаскара Камала, 24а. каб.117;"Пн-чт с 08-00 до 17-00, в пт. с 08-00 до 15-45
Перерыв: с 12-00 по 12-45
";Методика проведения конкурса на замещение вакантной должности федеральной государственной гражданской службы в Федеральной службе государственной статистики (приказ Росстата от 16.09.2016 № 520);;420021, г. Казань, ул. Галиаскара Камала, 24а. каб.107
