Категория: Все категории

Неделя,Ак барс: (Россия)
2017-01-08,62
2017-01-15,62
2017-01-22,59
2017-01-29,56
2017-02-05,59
2017-02-12,75
2017-02-19,62
2017-02-26,65
2017-03-05,61
2017-03-12,72
2017-03-19,60
2017-03-26,70
2017-04-02,55
2017-04-09,59
2017-04-16,65
2017-04-23,62
2017-04-30,46
2017-05-07,43
2017-05-14,72
2017-05-21,57
2017-05-28,52
2017-06-04,54
2017-06-11,58
2017-06-18,72
2017-06-25,61
2017-07-02,52
2017-07-09,60
2017-07-16,69
2017-07-23,69
2017-07-30,61
2017-08-06,56
2017-08-13,100
2017-08-20,72
2017-08-27,55
2017-09-03,55
2017-09-10,63
2017-09-17,58
2017-09-24,58
2017-10-01,55
2017-10-08,63
2017-10-15,58
2017-10-22,61
2017-10-29,62
2017-11-05,55
2017-11-12,69
2017-11-19,65
2017-11-26,64
2017-12-03,59
2017-12-10,64
2017-12-17,66
2017-12-24,70
2017-12-31,37
2018-01-07,57
2018-01-14,64
2018-01-21,61
2018-01-28,61
2018-02-04,56
2018-02-11,62
2018-02-18,51
2018-02-25,62
2018-03-04,48
2018-03-11,68
2018-03-18,64
2018-03-25,60
2018-04-01,60
2018-04-08,70
2018-04-15,62
2018-04-22,69
2018-04-29,49
2018-05-06,50
2018-05-13,56
2018-05-20,61
2018-05-27,58
2018-06-03,59
2018-06-10,52
2018-06-17,54
2018-06-24,47
2018-07-01,51
2018-07-08,52
2018-07-15,54
2018-07-22,58
2018-07-29,55
2018-08-05,61
2018-08-12,65
2018-08-19,66
2018-08-26,64
2018-09-02,59
2018-09-09,66
2018-09-16,63
2018-09-23,52
2018-09-30,52
2018-10-07,50
2018-10-14,56
2018-10-21,54
2018-10-28,51
2018-11-04,37
