Дата;Количество поступивших вызовов;Количество принятых вызовов;Количество потерянных вызовов;Ср. скор. отв. (сек.);Ср. время разговора (сек.);Средн. число операторов;Макс. число операторов
01.03.2017;2142;1875;264;84;123;5;10
02.03.2017;1781;1736;43;23;117;6;11
03.03.2017;1785;1653;126;49;114;5;10
04.03.2017;1073;1024;41;28;121;4;6
05.03.2017;572;559;4;8;106;3;4
06.03.2017;1850;1644;202;82;135;5;10
07.03.2017;2151;1448;702;221;129;4;9
08.03.2017;669;651;14;12;108;4;6
09.03.2017;1958;1598;356;117;120;5;13
10.03.2017;1953;1697;251;89;130;5;10
11.03.2017;1070;985;84;53;120;4;6
12.03.2017;654;643;7;14;113;4;6
13.03.2017;2062;1940;115;50;116;5;11
14.03.2017;2185;1892;291;113;119;5;10
15.03.2017;2347;2181;159;56;111;6;12
16.03.2017;3053;2620;430;108;99;6;12
17.03.2017;3423;2560;858;199;105;5;11
18.03.2017;1643;1465;175;89;109;4;6
19.03.2017;885;842;37;31;111;3;4
20.03.2017;2368;2094;272;85;116;6;11
21.03.2017;2160;1969;186;72;127;6;12
22.03.2017;1983;1899;76;33;130;6;13
23.03.2017;1808;1686;118;48;127;5;13
24.03.2017;1813;1623;187;73;133;5;11
25.03.2017;1018;957;53;42;124;4;6
26.03.2017;647;618;21;28;126;3;4
27.03.2017;2012;1861;148;63;145;6;14
28.03.2017;1792;1612;177;73;139;5;11
29.03.2017;1699;1549;144;75;146;5;11
30.03.2017;1639;1502;134;56;148;5;11
31.03.2017;1696;1602;89;39;133;5;10
01.04.2017;1060;1015;34;31;125;4;6
02.04.2017;657;631;13;17;121;4;6
03.04.2017;1797;1746;47;29;131;6;13
04.04.2017;1729;1571;155;64;148;6;13
05.04.2017;1717;1624;88;44;136;6;14
06.04.2017;1715;1646;61;30;131;6;12
07.04.2017;1717;1512;201;75;134;6;13
08.04.2017;967;911;51;41;125;4;6
09.04.2017;595;570;24;29;113;3;4
10.04.2017;2150;1912;223;78;138;6;13
11.04.2017;1945;1803;134;51;137;6;13
12.04.2017;1766;1692;63;26;131;6;13
13.04.2017;1750;1692;52;22;126;6;13
14.04.2017;2002;1892;97;31;120;6;14
15.04.2017;1405;1321;80;42;101;4;6
16.04.2017;1006;831;171;105;110;3;5
17.04.2017;3464;3076;384;71;94;6;13
18.04.2017;3954;3236;716;117;103;6;14
19.04.2017;3195;2831;360;83;108;6;13
20.04.2017;2425;2237;183;58;120;6;13
21.04.2017;2211;1944;256;78;125;6;11
22.04.2017;1201;1081;115;65;115;4;6
23.04.2017;834;753;62;55;113;3;4
24.04.2017;2098;1899;193;76;127;5;9
25.04.2017;2128;1922;203;76;125;6;10
26.04.2017;1945;1868;76;30;124;6;12
27.04.2017;1828;1729;92;37;130;6;13
28.04.2017;2046;1803;241;85;127;5;12
29.04.2017;1108;1013;88;50;112;4;5
30.04.2017;707;659;45;46;115;3;3
01.05.2017;810;696;112;94;132;3;4
02.05.2017;1818;1699;118;55;118;5;8
03.05.2017;1695;1600;95;46;126;5;10
04.05.2017;1609;1534;72;34;121;5;11
05.05.2017;1980;1688;289;101;125;5;9
06.05.2017;1144;1027;116;72;105;3;5
07.05.2017;633;588;44;55;118;2;4
08.05.2017;829;810;17;24;97;3;5
09.05.2017;471;459;12;15;116;3;4
10.05.2017;2546;1530;1012;287;120;4;11
11.05.2017;2172;1576;591;178;141;5;9
12.05.2017;2079;1743;332;124;126;5;10
13.05.2017;1152;981;165;108;121;3;5
14.05.2017;650;586;59;68;115;3;4
15.05.2017;2629;1818;805;237;122;5;9
16.05.2017;3228;1887;1321;304;120;5;10
17.05.2017;3579;2503;1064;246;103;5;11
18.05.2017;3792;2895;891;210;94;5;11
19.05.2017;3750;2380;1370;270;107;5;12
20.05.2017;1333;1172;151;75;105;4;6
21.05.2017;682;642;38;46;105;2;3
22.05.2017;2174;2035;136;53;117;6;12
23.05.2017;1901;1762;137;46;129;6;11
24.05.2017;1728;1569;154;63;131;5;12
25.05.2017;1837;1621;215;77;135;5;12
26.05.2017;1619;1504;112;40;133;5;11
27.05.2017;884;802;74;65;125;3;5
28.05.2017;651;601;49;51;118;3;4
29.05.2017;1766;1655;106;46;135;6;12
30.05.2017;1679;1448;222;77;129;5;12
31.05.2017;1693;1523;164;59;139;5;14
01.06.2017;2011;1652;350;122;148;5;12
02.06.2017;1579;1337;239;95;135;4;11
03.06.2017;758;737;19;24;106;3;5
04.06.2017;583;567;11;22;95;2;4
05.06.2017;1682;1551;129;55;134;5;13
06.06.2017;1522;1447;74;36;144;6;14
07.06.2017;1719;1621;89;40;131;5;13
08.06.2017;1673;1481;180;66;152;6;13
09.06.2017;2200;1495;702;230;144;4;10
10.06.2017;1254;794;454;237;112;3;4
11.06.2017;584;545;38;46;114;3;4
12.06.2017;1009;913;96;84;94;3;4
13.06.2017;2134;1827;306;100;137;6;12
14.06.2017;2149;1822;324;99;146;5;13
15.06.2017;2273;1975;298;87;134;5;13
16.06.2017;2917;2529;383;94;110;5;14
17.06.2017;1785;1650;123;55;76;4;6
18.06.2017;1085;1015;68;52;72;2;3
19.06.2017;5134;2934;2197;387;108;5;15
20.06.2017;4218;2965;1249;236;108;5;12
21.06.2017;3573;2357;1214;279;118;5;15
22.06.2017;2326;2030;292;89;138;6;15
23.06.2017;2139;1812;323;106;134;5;12
24.06.2017;1135;998;130;83;113;3;5
25.06.2017;684;611;65;64;117;2;4
26.06.2017;2021;1879;139;48;144;6;14
27.06.2017;2109;1738;368;134;134;5;11
28.06.2017;1867;1627;239;93;136;5;11
29.06.2017;1782;1570;212;79;144;4;10
30.06.2017;1818;1573;243;104;146;5;12
01.07.2017;1207;1051;154;79;117;3;5
02.07.2017;569;542;27;46;120;3;4
03.07.2017;2096;1896;194;66;137;6;13
04.07.2017;1711;1626;78;30;142;6;14
05.07.2017;1622;1547;73;31;134;6;14
06.07.2017;1815;1507;300;117;141;5;11
07.07.2017;1886;1573;311;100;140;5;11
08.07.2017;899;778;116;91;118;3;4
09.07.2017;533;512;18;35;117;2;3
10.07.2017;1906;1703;200;69;131;6;13
11.07.2017;1897;1636;258;101;127;5;12
