Дата;Время начала;Время окончания;Ср. скор. отв.;Ср. время разговора
01.03.2017;0:00;0:30;7;90
01.03.2017;0:30;1:00;0;0
01.03.2017;1:00;1:30;0;0
01.03.2017;1:30;2:00;0;0
01.03.2017;2:00;2:30;0;0
01.03.2017;2:30;3:00;0;0
01.03.2017;3:00;3:30;0;0
01.03.2017;3:30;4:00;0;0
01.03.2017;4:00;4:30;0;0
01.03.2017;4:30;5:00;0;0
01.03.2017;5:00;5:30;0;0
01.03.2017;5:30;6:00;0;0
01.03.2017;6:00;6:30;0;0
01.03.2017;6:30;7:00;0;0
01.03.2017;7:00;7:30;0;0
01.03.2017;7:30;8:00;4;68
01.03.2017;8:00;8:30;0;0
01.03.2017;8:30;9:00;18;59
01.03.2017;9:00;9:30;6;66
01.03.2017;9:30;10:00;69;29
01.03.2017;10:00;10:30;250;51
01.03.2017;10:30;11:00;39;34
01.03.2017;11:00;11:30;62;46
01.03.2017;11:30;12:00;0;0
01.03.2017;12:00;12:30;5;47
01.03.2017;12:30;13:00;152;45
01.03.2017;13:00;13:30;61;31
01.03.2017;13:30;14:00;23;60
01.03.2017;14:00;14:30;4;98
01.03.2017;14:30;15:00;52;100
01.03.2017;15:00;15:30;6;154
01.03.2017;15:30;16:00;12;46
01.03.2017;16:00;16:30;9;78
01.03.2017;16:30;17:00;69;35
01.03.2017;17:00;17:30;91;79
01.03.2017;17:30;18:00;0;0
01.03.2017;18:00;18:30;0;0
01.03.2017;18:30;19:00;0;0
01.03.2017;19:00;19:30;0;0
01.03.2017;19:30;20:00;110;19
01.03.2017;20:00;20:30;40;56
01.03.2017;20:30;21:00;0;0
01.03.2017;21:00;21:30;0;0
01.03.2017;21:30;22:00;0;0
01.03.2017;22:00;22:30;122;48
01.03.2017;22:30;23:00;0;0
01.03.2017;23:00;23:30;0;0
01.03.2017;23:30;0:00;0;0
01.03.2017;0:00;0:30;0;0
01.03.2017;0:30;1:00;0;0
01.03.2017;1:00;1:30;0;0
01.03.2017;1:30;2:00;0;0
01.03.2017;2:00;2:30;0;0
01.03.2017;2:30;3:00;0;0
01.03.2017;3:00;3:30;0;0
01.03.2017;3:30;4:00;0;0
01.03.2017;4:00;4:30;0;0
01.03.2017;4:30;5:00;0;0
01.03.2017;5:00;5:30;0;0
01.03.2017;5:30;6:00;0;0
01.03.2017;6:00;6:30;0;0
01.03.2017;6:30;7:00;0;0
01.03.2017;7:00;7:30;0;0
01.03.2017;7:30;8:00;0;0
01.03.2017;8:00;8:30;61;140
01.03.2017;8:30;9:00;6;111
01.03.2017;9:00;9:30;11;258
01.03.2017;9:30;10:00;15;95
01.03.2017;10:00;10:30;24;236
01.03.2017;10:30;11:00;15;132
01.03.2017;11:00;11:30;6;195
01.03.2017;11:30;12:00;27;103
01.03.2017;12:00;12:30;4;150
01.03.2017;12:30;13:00;26;176
01.03.2017;13:00;13:30;20;142
01.03.2017;13:30;14:00;2;75
01.03.2017;14:00;14:30;21;106
01.03.2017;14:30;15:00;10;59
01.03.2017;15:00;15:30;4;100
01.03.2017;15:30;16:00;11;121
01.03.2017;16:00;16:30;0;0
01.03.2017;16:30;17:00;5;85
01.03.2017;17:00;17:30;12;77
01.03.2017;17:30;18:00;42;91
01.03.2017;18:00;18:30;24;122
01.03.2017;18:30;19:00;74;117
01.03.2017;19:00;19:30;78;435
01.03.2017;19:30;20:00;16;42
